weightKg,destinationZipCode,shipmentDate,declaredValue
47,67890,2026-02-19T14:00:00,0
33.7,44444,2026-02-19T12:00:00,0
31.4,44444,2026-02-19T06:00:00,233
24.6,22222,2026-02-19T12:00:00,0
29.9,90210,2026-02-19T18:00:00,0
16,55555,2026-02-19T18:00:00,500
50.6,11111,2026-02-19T17:00:00,745
36.6,33333,2026-02-19T17:00:00,994
43,55555,2026-02-19T17:00:00,0
15.3,33333,2026-02-19T08:00:00,198
35.3,12345,2026-02-19T09:00:00,412
42.7,10001,2026-02-19T12:00:00,0
32.6,10001,2026-02-19T07:00:00,0
30.4,12345,2026-02-19T15:00:00,0
21.4,77001,2026-02-19T16:00:00,0
11.7,55555,2026-02-19T15:00:00,0
14.5,77001,2026-02-19T10:00:00,679
22.9,22222,2026-02-19T16:00:00,0
21.6,11111,2026-02-19T17:00:00,535
16.3,12345,2026-02-19T11:00:00,314
43.8,22222,2026-02-19T09:00:00,367
30.8,33333,2026-02-19T10:00:00,622
1.8,44444,2026-02-19T08:00:00,0
20.3,90210,2026-02-19T09:00:00,0
41.1,11111,2026-02-19T15:00:00,950
40.1,11111,2026-02-19T17:00:00,783
16.5,12345,2026-02-19T09:00:00,0
42,10001,2026-02-19T16:00:00,0
43.2,10001,2026-02-19T16:00:00,0
18,11111,2026-02-19T12:00:00,0
14.6,67890,2026-02-19T07:00:00,639
14.1,22222,2026-02-19T11:00:00,823
37.7,55555,2026-02-19T06:00:00,830
31.1,11111,2026-02-19T17:00:00,0
10.9,55555,2026-02-19T10:00:00,0
19.6,67890,2026-02-19T14:00:00,0
19.7,77001,2026-02-19T08:00:00,526
8.9,22222,2026-02-19T16:00:00,0
36.7,33333,2026-02-19T18:00:00,692
21.6,33333,2026-02-19T14:00:00,0
43.1,22222,2026-02-19T11:00:00,242
17.8,10001,2026-02-19T18:00:00,672
49.4,90210,2026-02-19T08:00:00,419
37.9,12345,2026-02-19T08:00:00,298
28.1,33333,2026-02-19T15:00:00,485
45.5,55555,2026-02-19T17:00:00,560
19.5,12345,2026-02-19T17:00:00,0
16.3,90210,2026-02-19T12:00:00,474
26.5,12345,2026-02-19T09:00:00,0
4.7,22222,2026-02-19T17:00:00,81
7.2,22222,2026-02-19T07:00:00,0
36.4,55555,2026-02-19T06:00:00,0
1.3,10001,2026-02-19T07:00:00,0
40.5,77001,2026-02-19T17:00:00,0
32.1,11111,2026-02-19T16:00:00,631
38.7,11111,2026-02-19T07:00:00,0
18,33333,2026-02-19T07:00:00,0
10.3,12345,2026-02-19T09:00:00,0
23,67890,2026-02-19T10:00:00,165
24.4,67890,2026-02-19T10:00:00,208
33.7,55555,2026-02-19T17:00:00,42
18.8,67890,2026-02-19T15:00:00,62
46.7,44444,2026-02-19T12:00:00,0
30.3,12345,2026-02-19T11:00:00,966
45.6,12345,2026-02-19T10:00:00,180
31.1,77001,2026-02-19T08:00:00,0
24.5,90210,2026-02-19T10:00:00,751
5.3,22222,2026-02-19T11:00:00,180
13.4,33333,2026-02-19T08:00:00,0
39,77001,2026-02-19T11:00:00,0
21.8,90210,2026-02-19T15:00:00,0
5.1,11111,2026-02-19T11:00:00,0
50.8,33333,2026-02-19T18:00:00,799
10.6,44444,2026-02-19T12:00:00,104
20,10001,2026-02-19T11:00:00,0
22.8,90210,2026-02-19T12:00:00,459
5,33333,2026-02-19T08:00:00,191
20.3,55555,2026-02-19T11:00:00,579
11,11111,2026-02-19T09:00:00,0
16,11111,2026-02-19T06:00:00,876
44.5,12345,2026-02-19T08:00:00,134
39.3,44444,2026-02-19T12:00:00,14
44.5,33333,2026-02-19T13:00:00,0
45.5,12345,2026-02-19T14:00:00,879
39.5,55555,2026-02-19T10:00:00,359
13.1,67890,2026-02-19T10:00:00,0
48.2,55555,2026-02-19T14:00:00,0
29,90210,2026-02-19T17:00:00,0
6.6,33333,2026-02-19T09:00:00,161
37,55555,2026-02-19T14:00:00,153
47.2,11111,2026-02-19T15:00:00,43
4.2,10001,2026-02-19T12:00:00,595
12.4,12345,2026-02-19T14:00:00,69
22.1,90210,2026-02-19T17:00:00,107
14.1,67890,2026-02-19T17:00:00,859
2.5,10001,2026-02-19T10:00:00,857
48.7,12345,2026-02-19T08:00:00,0
34.2,22222,2026-02-19T16:00:00,88
44.3,77001,2026-02-19T10:00:00,0
2.6,10001,2026-02-19T11:00:00,0
23,10001,2026-02-19T06:00:00,0
47.3,22222,2026-02-19T06:00:00,135
37.7,11111,2026-02-19T16:00:00,284
33.6,55555,2026-02-19T12:00:00,99
14.7,10001,2026-02-19T06:00:00,694
2.2,67890,2026-02-19T09:00:00,0
18.5,55555,2026-02-19T16:00:00,225
8.7,90210,2026-02-19T16:00:00,0
36.9,90210,2026-02-19T07:00:00,755
41.4,12345,2026-02-19T16:00:00,376
11,10001,2026-02-19T07:00:00,276
8.2,55555,2026-02-19T16:00:00,0
47,90210,2026-02-19T06:00:00,487
14.8,44444,2026-02-19T07:00:00,0
17.8,22222,2026-02-19T18:00:00,0
6.9,22222,2026-02-19T07:00:00,0
21.6,10001,2026-02-19T07:00:00,0
44.4,67890,2026-02-19T07:00:00,334
30.3,55555,2026-02-19T13:00:00,692
20.2,11111,2026-02-19T12:00:00,0
13.8,11111,2026-02-19T16:00:00,941
18.2,90210,2026-02-19T18:00:00,0
37.7,33333,2026-02-19T11:00:00,0
1.7,33333,2026-02-19T14:00:00,316
4.5,55555,2026-02-19T15:00:00,0
46.4,77001,2026-02-19T07:00:00,782
43.4,22222,2026-02-19T17:00:00,854
45.1,67890,2026-02-19T14:00:00,285
35.3,77001,2026-02-19T09:00:00,534
9.5,11111,2026-02-19T16:00:00,0
16.5,44444,2026-02-19T10:00:00,0
19,11111,2026-02-19T09:00:00,0
45.9,55555,2026-02-19T17:00:00,0
38.6,33333,2026-02-19T11:00:00,0
16,10001,2026-02-19T10:00:00,385
14.4,77001,2026-02-19T17:00:00,0
35.2,90210,2026-02-19T06:00:00,242
37.2,11111,2026-02-19T11:00:00,0
48.8,33333,2026-02-19T14:00:00,0
45.7,67890,2026-02-19T08:00:00,442
50.8,12345,2026-02-19T07:00:00,0
3.3,22222,2026-02-19T07:00:00,47
38.3,22222,2026-02-19T06:00:00,0
18.9,55555,2026-02-19T15:00:00,0
26.5,90210,2026-02-19T11:00:00,297
17.3,67890,2026-02-19T11:00:00,33
15.1,44444,2026-02-19T18:00:00,0
16.8,90210,2026-02-19T17:00:00,411
45.2,67890,2026-02-19T17:00:00,198
21.4,12345,2026-02-19T13:00:00,560
15.2,44444,2026-02-19T18:00:00,0
14.6,12345,2026-02-19T08:00:00,875
7.6,33333,2026-02-19T14:00:00,0
7.1,11111,2026-02-19T10:00:00,0
15,11111,2026-02-19T15:00:00,559
24.6,55555,2026-02-19T16:00:00,0
42.1,11111,2026-02-19T12:00:00,0
5.3,12345,2026-02-19T08:00:00,795
39,44444,2026-02-19T11:00:00,0
11.2,90210,2026-02-19T17:00:00,0
30,10001,2026-02-19T15:00:00,339
10.7,12345,2026-02-19T14:00:00,0
48.3,67890,2026-02-19T11:00:00,941
13.8,11111,2026-02-19T06:00:00,89
24.5,11111,2026-02-19T17:00:00,0
20.6,10001,2026-02-19T09:00:00,117
38.8,44444,2026-02-19T14:00:00,0
38.2,10001,2026-02-19T13:00:00,882
32.5,12345,2026-02-19T09:00:00,0
6.3,77001,2026-02-19T07:00:00,585
7.6,77001,2026-02-19T17:00:00,0
43.2,67890,2026-02-19T07:00:00,730
35.7,22222,2026-02-19T06:00:00,0
6.5,55555,2026-02-19T10:00:00,392
25.6,11111,2026-02-19T15:00:00,424
36.6,90210,2026-02-19T08:00:00,0
7.2,77001,2026-02-19T17:00:00,540
13.9,44444,2026-02-19T09:00:00,220
36.6,22222,2026-02-19T16:00:00,0
3.2,55555,2026-02-19T15:00:00,0
3.2,55555,2026-02-19T07:00:00,0
11.9,90210,2026-02-19T07:00:00,358
14.7,12345,2026-02-19T07:00:00,0
19.8,44444,2026-02-19T15:00:00,463
10.5,77001,2026-02-19T15:00:00,649
17.8,33333,2026-02-19T14:00:00,325
14,33333,2026-02-19T08:00:00,0
2.6,77001,2026-02-19T09:00:00,934
38,55555,2026-02-19T09:00:00,783
35.5,10001,2026-02-19T09:00:00,112
3.4,55555,2026-02-19T09:00:00,915
22.3,55555,2026-02-19T12:00:00,268
9.6,90210,2026-02-19T11:00:00,627
28.9,55555,2026-02-19T07:00:00,713
10.5,22222,2026-02-19T14:00:00,0
7.6,90210,2026-02-19T17:00:00,0
31.5,90210,2026-02-19T06:00:00,0
20.5,67890,2026-02-19T18:00:00,772
